id,date,value,method,abc6,abc6Value,abc9,abc9Value,abc12,abc12Value,xyz6,xyz9,xyz12
Becky Cameron,2022-02-01,136897,,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-03-01,173828,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-04-01,165305,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-05-01,179313,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-06-01,176915,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-07-01,159531,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-08-01,186105,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-09-01,200031,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-10-01,193075,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-11-01,226586,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2022-12-01,207187,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-01-01,199508,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-02-01,183409,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-03-01,199173,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-04-01,186565,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-05-01,199703,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-06-01,194737,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-07-01,173795,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
Becky Cameron,2023-08-01,200896,iCUE1,C,1232263,C,1698352,A,2267450,x,x,x
SafeRest,2019-02-01,109330,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-03-01,122313,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-04-01,115841,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-05-01,130434,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-06-01,135270,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-07-01,158646,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-08-01,163106,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-09-01,129697,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-10-01,116192,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-11-01,117815,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2019-12-01,119237,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-01-01,126482,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-02-01,118974,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-03-01,110663,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-04-01,109437,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-05-01,154292,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-06-01,163229,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-07-01,187174,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-08-01,168103,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-09-01,137496,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-10-01,130841,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-11-01,122957,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2020-12-01,125635,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-01-01,157755,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-02-01,120969,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-03-01,160547,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-04-01,142138,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-05-01,140346,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-06-01,172325,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-07-01,196677,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-08-01,208104,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-09-01,162243,,C,955852,C,1532958,A,1975989,x,x,x
SafeRest,2021-10-01,157214,,C,955852,C,1532958,A,1975989,x,x,x
